Name,Latest Chapter,Dated Released,depth,Genre,Status,Rating,img-link
Lucky Number 13,Vol.2 Ch.13,"Jan 20,16",560,"Comedy,Drama,School life,Shounen ai,Sports,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/26/w/4-1583470788.jpg
Kimi De Oboreta Ato Wa,Vol.1 Ch.7 : Sequel,"Jan 20,16",477,"Romance,School life,Smut,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/3/i/13-1583487846.jpg
After Christmas,Chapter 1,"Nov 03,16",368,"Action,Adult,Cooking,One shot,Romance,Shoujo",Completed,4.7,https://avt.mkklcdnv6temp.com/33/j/14-1583490912.jpg
Warui Yatsu Demo Ii,Chapter Official Doujinshi : Warui Koto Bakkashite Gomennasai,"Nov 02,16",368,"Comedy,Drama,Mature,Romance,School life,Yaoi",Completed,4.7,https://avt.mkklcdnv6temp.com/33/c/4-1583471044.jpg
It's Love,Vol.7 Chapter 42,"Feb 27,18",301,"Comedy,Drama,Harem,Romance,School life,Shoujo",Completed,4.7,https://avt.mkklcdnv6temp.com/16/b/5-1583472470.jpg
99 Ways To Become Heroes By Beauty Masters,Chapter 16,"Apr 27,21",6,"Action,Adventure,Fantasy",Ongoing,4.7,https://avt.mkklcdnv6temp.com/1/q/22-1609819105.jpg
Wu Dong Qian Kun,Chapter 118,"Apr 26,21",10,"Action,Adventure,Fantasy,Martial arts,Shounen,Supernatural",Ongoing,4.7,https://avt.mkklcdnv6temp.com/28/s/1-1583464818.jpg
Cultivator Against Hero Society,Chapter 79,"Apr 24,21",16,"Action,Adventure,Comedy,Martial arts",Ongoing,4.7,https://avt.mkklcdnv6temp.com/32/o/21-1593661378.jpg
A Night With The Emperor,Chapter 13,"Apr 23,21",19,"Comedy,Drama,Fantasy,Romance",Ongoing,4.7,https://avt.mkklcdnv6temp.com/23/a/23-1612839969.jpg
My Husband Hides His Beauty,Chapter 41,"Apr 22,21",21,"Fantasy,Historical,Romance",Ongoing,4.7,https://avt.mkklcdnv6temp.com/7/g/22-1598934468.jpg
Troll Trap,Chapter 62,"Apr 21,21",22,"Action,Fantasy,School life,Shounen",Ongoing,4.7,https://avt.mkklcdnv6temp.com/13/w/16-1583493972.jpg
I’Ve Been Killing Slimes For 300 Years And Maxed Out My Level,Chapter 31,"Apr 08,21",33,"Adventure,Comedy,Fantasy,Slice of life",Ongoing,4.7,https://avt.mkklcdnv6temp.com/34/a/17-1583496479.jpg
Devilish Romance,Chapter 9,"Mar 26,21",40,"Comedy,Fantasy,Josei,Romance,Supernatural",Ongoing,4.7,https://avt.mkklcdnv6temp.com/45/j/23-1616732405.jpg
Isekai Ryouridou,Chapter 28,"Mar 27,21",40,"Action,Adventure,Comedy,Cooking,Drama,Fantasy,Romance,Seinen,Slice of life,Tragedy",Ongoing,4.7,https://avt.mkklcdnv6temp.com/25/v/16-1583494399.jpg
Okinawa De Suki Ni Natta Ko Ga Hougen Sugite Tsura Sugiru,Chapter 4: The Kamekame Attack,"Mar 19,21",45,"Comedy,Romance,School life,Seinen,Slice of life",Ongoing,4.7,https://avt.mkklcdnv6temp.com/4/h/23-1610258616.jpg
Nise Seiken Monogatari: Osananajimi No Seijo O Uttara Michizure Ni Sareta,Chapter 9,"Mar 18,21",46,"Action,Adventure,Comedy,Fantasy,Harem",Ongoing,4.7,https://avt.mkklcdnv6temp.com/2/n/23-1609948954.jpg
The Unfavorable Job [Appraiser] Is Actually The Strongest,Chapter 18.2: Defeat (2),"Mar 16,21",50,"Action,Adventure,Drama,Fantasy",Ongoing,4.7,https://avt.mkklcdnv6temp.com/11/m/22-1599706717.jpg
